id,ms,x,y,z
299,7095,-0.48,1.36,9.58
300,7116,-0.77,1.28,9.81
301,7132,-0.84,1.95,9.58
302,7149,-0.52,1.23,10.15
303,7169,-0.33,0.86,9.43
304,7185,0.11,0.92,9.33
305,7201,0.75,0.54,9.46
306,7217,1.71,0.29,9.0
307,7234,0.36,0.65,9.64
308,7250,-0.9,0.71,9.79
309,7267,0.38,0.27,9.33
310,7287,0.5,-0.08,9.48
311,7304,0.5,0.06,9.27
312,7320,0.33,-0.17,9.62
313,7337,0.27,0.1,9.46
314,7353,0.29,0.56,9.12
315,7369,0.11,0.59,9.62
316,7386,0.31,0.96,9.48
317,7402,0.59,0.88,9.18
318,7419,0.38,1.07,9.27
319,7439,-0.61,1.23,9.87
320,7456,0.0,1.03,9.46
321,7472,0.73,0.96,9.31
322,7489,0.08,1.17,9.85
323,7505,0.25,1.03,9.58
324,7521,0.31,0.73,9.48
325,7538,0.4,0.71,9.39
326,7553,0.33,0.56,9.62
327,7570,0.27,0.57,9.54
328,7586,0.31,0.57,9.25
329,7603,0.38,0.33,9.69
330,7619,0.17,0.42,9.39
331,7635,0.29,0.63,9.66
332,7656,0.21,0.52,9.52
333,7672,0.1,0.56,9.6
334,7689,-0.1,1.03,9.54
335,7705,0.02,0.77,9.29
336,7722,0.23,0.67,9.46
337,7738,0.34,0.52,9.56
338,7754,0.4,0.56,9.67
339,7771,0.06,0.4,9.54
340,7791,-0.02,0.1,9.31
341,7808,0.57,0.06,9.79
342,7824,-0.02,-0.38,9.83
343,7841,0.25,0.13,9.6
344,7857,0.17,0.19,9.43
345,7874,0.13,0.06,9.31
346,7890,0.23,0.17,9.69
347,7906,0.33,0.31,9.46
348,7927,-0.1,0.19,9.96
349,7942,0.19,0.34,9.31
350,7959,0.27,0.84,9.71
351,7975,0.23,0.46,9.75
352,7992,0.08,0.04,9.67
353,8008,0.27,0.02,9.73
354,8025,0.19,0.15,9.54
355,8045,0.4,-0.13,9.48
356,8061,0.08,0.13,9.79
357,8078,-0.04,0.13,9.77
358,8094,0.11,0.19,9.5
359,8111,0.02,0.38,9.6
360,8127,0.15,0.13,9.66
361,8144,0.36,0.15,9.48
362,8161,0.17,0.02,9.77
363,8176,0.23,0.02,9.6
364,8197,0.13,0.15,10.04
365,8213,0.13,0.0,9.87
366,8230,0.27,0.11,9.41
367,8246,0.17,0.17,9.23
368,8263,0.17,0.27,9.52
369,8279,0.23,0.25,9.06
370,8296,0.15,0.21,9.43
371,8311,0.15,0.17,9.54
372,8332,-0.06,-0.08,9.81
373,8348,0.17,0.02,9.39
374,8364,0.21,0.19,9.66
375,8381,0.15,0.25,9.81
376,8397,0.19,0.4,9.56
377,8414,0.11,0.25,9.66
378,8430,0.17,-0.23,9.27
379,8451,0.27,-0.57,9.5
380,8467,0.25,-0.25,9.71
381,8484,0.36,-0.04,9.25
382,8500,0.15,-0.11,9.98
383,8520,0.1,0.15,9.56
384,8537,0.1,0.38,9.56
385,8553,0.15,0.19,9.96
386,8570,0.33,0.19,9.37
387,8586,0.13,0.15,9.31
388,8603,0.15,0.21,9.46
389,8619,0.27,-0.23,9.33
390,8635,0.08,-0.46,9.73
391,8656,0.44,-1.02,9.2
392,8672,0.36,-0.5,9.48
393,8688,0.27,-0.31,9.54
394,8704,0.1,0.0,9.64
395,8725,-0.1,0.36,9.67
396,8741,0.19,0.4,9.52
397,8758,0.23,0.75,9.39
398,8774,0.1,0.33,9.18
399,8791,0.19,0.08,9.67
400,8811,0.38,-0.08,10.0
401,8827,0.13,-0.23,9.33
402,8844,0.54,-0.19,9.25
403,8864,0.36,-0.11,9.58
404,8881,0.11,0.08,9.35
405,8897,0.13,0.04,9.56
406,8914,0.06,0.08,9.52
407,8930,0.23,0.21,9.27
408,8947,0.5,0.08,9.23
409,8963,0.1,0.06,9.66
410,8984,0.1,-0.13,10.06
411,9000,0.02,-0.08,9.23
412,9016,0.25,-0.27,9.85
413,9033,0.38,-0.34,9.22
414,9052,0.13,-0.5,9.23
415,9069,0.23,-0.34,9.31
416,9085,0.36,0.0,9.48
417,9102,0.19,0.15,9.39
418,9122,0.23,-0.31,9.98
419,9139,-0.08,-0.11,9.52
420,9155,0.19,-0.17,9.5
421,9176,0.19,-0.13,9.6
422,9192,0.17,-0.13,9.67
423,9208,0.21,-0.27,9.58
424,9229,0.08,-0.38,9.67
425,9245,0.31,-0.42,9.37
426,9262,0.25,-0.36,9.39
427,9282,0.19,-0.1,10.08
428,9299,0.15,-0.19,9.9
429,9319,0.23,-0.04,9.6
430,9336,0.1,-0.06,9.75
431,9352,0.25,-0.04,9.48
432,9369,0.19,0.17,9.46
433,9389,0.13,-0.19,9.45
434,9406,0.13,-0.5,9.39
435,9422,0.08,-0.54,9.2
436,9437,0.29,-0.54,9.18
437,9458,0.4,-0.61,9.71
438,9474,0.31,-0.17,9.5
439,9491,0.29,0.02,9.5
440,9507,0.27,0.08,9.39
441,9528,0.23,-0.17,9.54
442,9544,0.42,-0.33,10.0
443,9561,0.11,-0.21,9.66
444,9581,0.13,-0.34,9.89
445,9598,0.25,-0.4,9.45
446,9614,0.19,-0.42,9.66
447,9634,0.23,-0.21,9.64
448,9651,0.36,-0.11,9.66
449,9667,0.46,-0.33,9.33
450,9688,0.1,-0.25,9.39
451,9704,0.21,-0.29,9.52
452,9721,0.15,-0.36,9.62
453,9741,0.15,-0.61,9.48
454,9758,0.5,1.05,9.69
455,9774,0.25,-1.61,9.66
456,9795,-4.35,-0.54,10.73
457,9810,0.77,-1.63,8.3
458,9826,3.51,1.97,7.47
459,9847,-0.17,0.04,8.51
460,9863,2.68,1.05,8.89
461,9880,-0.94,3.93,18.55
462,9900,-3.37,0.54,10.52
463,9921,-0.33,-0.42,10.12
464,9937,2.43,-0.86,8.97
465,9958,-0.94,-0.88,10.02
466,9974,0.63,-0.94,9.0
467,9991,0.56,-0.61,9.33
468,10011,-0.15,-0.31,9.71
469,10028,0.65,0.21,9.31
470,10048,-0.1,-0.04,9.79
471,10065,0.36,0.0,9.71
472,10081,0.0,-0.15,9.79
473,10098,-0.08,-0.27,9.56
474,10118,0.36,-0.23,9.25
475,10135,0.0,-0.25,9.27
476,10151,0.42,-0.31,9.2
477,10170,0.27,-0.38,9.35
478,10187,0.13,-0.38,9.79
479,10203,0.48,-0.46,9.73
480,10224,0.11,-0.17,9.46
481,10240,0.25,-0.31,9.69
482,10257,0.17,-0.17,9.62
483,10277,0.15,-0.06,9.5
484,10294,0.21,-0.06,9.71
485,10310,0.19,-0.21,9.85
486,10331,0.36,-0.33,9.75
487,10347,0.29,-0.57,9.37
488,10364,0.36,-0.54,9.2
489,10384,0.29,-0.42,9.39
490,10400,0.21,-0.36,9.48
491,10417,0.21,-0.38,9.6
492,10433,0.23,-0.36,9.2
493,10454,0.15,-0.29,9.14
494,10470,0.19,-0.19,9.58
495,10487,0.15,-0.13,9.87
496,10507,0.42,-0.17,9.14
497,10524,0.31,-0.04,9.1
498,10540,0.19,-0.25,9.37
499,10560,0.06,-0.23,9.56
500,10576,0.06,-0.17,10.0
501,10597,0.36,-0.23,9.2
502,10613,0.29,-0.56,9.43
503,10629,0.0,-0.36,9.5
504,10650,0.29,-0.1,9.52
505,10666,0.34,-0.57,9.83
506,10683,0.13,-0.92,9.54
507,10699,0.1,-1.05,9.45
508,10720,0.36,-1.49,10.13
509,10740,-0.13,0.13,10.08
510,10757,0.88,0.04,9.08
511,10773,0.65,-1.26,9.33
512,10790,0.31,-0.21,9.98
513,10806,0.0,0.84,9.83
514,10827,-0.08,1.21,9.27
515,10843,0.21,1.67,8.99
516,10859,0.08,1.76,9.85
517,10876,0.04,1.63,10.06
518,10892,-0.02,0.84,9.2
519,10913,0.08,0.1,9.87
520,10928,0.1,0.36,9.81
521,10945,0.27,0.69,9.14
522,10961,-0.1,0.5,9.5
523,10978,0.02,0.36,9.62
524,10994,-0.02,0.23,9.85
525,11010,0.13,0.08,9.54
526,11031,0.46,-0.23,9.77
527,11047,1.09,-0.71,9.12
528,11064,0.21,-1.03,9.6
529,11084,0.19,-0.75,9.6
530,11101,-0.02,-0.56,9.54
531,11121,0.25,-0.19,9.41
532,11138,0.13,0.27,9.56
533,11154,0.04,0.4,9.56
534,11171,-0.02,0.48,9.6
535,11187,-0.02,0.5,9.66
536,11207,-0.21,0.29,9.35
537,11224,0.0,0.02,9.54
538,11240,0.5,-0.19,9.66
539,11257,0.79,-0.48,9.06
540,11277,0.33,-0.52,9.71
541,11293,0.08,-0.31,9.73
542,11309,0.13,-0.13,9.46
543,11330,0.02,-0.02,9.48
544,11346,-0.1,0.19,9.45
545,11363,0.15,0.29,9.48
546,11379,0.06,0.21,9.62
547,11395,0.08,0.13,9.52
548,11412,0.08,-0.1,9.75
549,11432,0.1,-0.15,9.62
550,11449,0.25,-0.52,9.71
551,11465,0.8,-0.21,9.22
552,11486,0.19,-0.25,9.77
553,11502,0.11,-0.17,9.52
554,11523,0.17,-0.06,10.04
555,11539,0.06,0.02,9.77
556,11556,0.08,0.13,9.31
557,11572,0.15,0.06,9.39
558,11588,0.04,0.1,9.35
559,11605,0.13,0.0,9.62
560,11621,0.19,-0.15,10.0
561,11642,0.11,-0.1,9.5
562,11658,0.79,-0.1,9.41
563,11674,0.46,-0.27,9.81
564,11694,0.13,-0.15,9.56
565,11711,0.23,-0.17,9.2
566,11727,0.1,-0.13,9.64
567,11748,0.13,-0.02,9.56
568,11764,0.08,0.02,9.6
569,11781,0.25,0.06,9.29
570,11797,0.06,0.02,9.81
571,11813,0.1,-0.02,9.62
572,11830,0.33,-0.04,9.37
573,11850,0.61,-0.11,9.29
574,11867,0.29,-0.17,9.62
575,11883,0.04,-0.15,9.62
576,11904,0.04,-0.06,9.48
577,11920,0.19,-0.06,9.33
578,11937,-0.04,0.0,9.62
579,11957,0.19,-0.04,9.62
580,11973,0.1,0.04,9.62
581,11990,0.38,0.04,9.92
582,12006,0.48,0.02,9.56
583,12023,0.11,-0.04,9.02
584,12042,0.13,-0.1,9.54
585,12059,0.13,-0.11,9.52
586,12075,0.21,-0.4,9.92
587,12092,1.25,-2.95,9.31
588,12112,0.94,-2.24,9.45
589,12129,0.1,-0.54,9.71
590,12145,-0.29,6.65,9.37
591,12166,-0.19,-0.06,9.64
592,12186,-1.38,-1.63,9.73
593,12202,-3.26,-0.57,9.5
594,12223,-2.38,-0.52,8.89
