id,ms,x,y,z
367,8428,0.42,0.29,9.2
368,8445,0.5,0.02,9.56
369,8461,0.25,0.34,9.67
370,8482,0.21,0.11,10.31
371,8498,0.19,-0.02,10.0
372,8519,0.23,-0.17,9.94
373,8535,0.0,0.11,10.71
374,8556,-0.02,0.25,11.25
375,8572,-0.08,-0.11,12.24
376,8592,-0.17,0.33,12.41
377,8608,0.19,0.59,11.95
378,8628,0.13,-0.04,11.69
379,8645,0.46,-0.13,12.17
380,8665,0.36,0.33,12.18
381,8682,0.42,0.44,11.38
382,8698,0.5,0.4,11.28
383,8719,0.44,0.86,11.69
384,8735,0.27,0.84,11.65
385,8752,0.13,0.94,11.61
386,8772,0.08,0.71,12.09
387,8789,0.08,1.21,11.61
388,8805,-0.02,1.3,11.67
389,8826,0.11,1.32,11.05
390,8842,0.27,0.88,10.71
391,8859,0.29,0.46,10.92
392,8879,0.57,0.46,10.61
393,8895,0.17,0.79,10.46
394,8912,0.52,0.4,10.06
395,8928,0.5,0.33,9.92
396,8948,0.36,0.31,9.73
397,8964,0.38,0.44,9.77
398,8981,0.63,0.67,9.39
399,8997,0.9,0.92,8.85
400,9013,0.8,0.88,9.2
401,9030,0.61,0.75,9.35
402,9046,0.5,0.86,9.52
403,9063,0.4,0.88,9.41
404,9079,0.34,0.4,8.93
405,9096,0.75,0.42,9.22
406,9112,0.48,0.73,8.62
407,9129,0.23,0.98,8.85
408,9145,0.27,0.94,8.85
409,9161,0.52,0.94,8.45
410,9178,0.82,1.11,7.93
411,9194,0.63,1.25,8.31
412,9211,0.61,1.59,8.14
413,9231,0.42,1.78,7.97
414,9248,0.25,1.9,7.4
415,9264,0.29,2.03,7.66
416,9280,0.36,1.49,7.49
417,9297,0.44,1.3,7.09
418,9313,0.54,1.67,6.99
419,9329,0.92,1.86,6.69
420,9345,0.63,1.72,6.82
421,9362,0.54,1.69,6.86
422,9378,0.48,1.8,6.97
423,9395,0.5,2.2,6.51
424,9411,0.31,1.8,6.95
425,9427,0.33,1.49,6.9
426,9444,0.33,1.59,7.13
427,9460,0.38,1.07,7.26
428,9477,0.23,0.9,8.01
429,9497,0.13,0.73,8.56
430,9514,-0.06,0.84,8.64
431,9530,0.04,0.52,8.68
432,9546,0.1,0.54,9.16
433,9563,0.4,0.75,8.39
434,9579,0.4,0.94,8.49
435,9596,0.42,0.79,8.3
436,9612,0.21,0.44,8.93
437,9629,0.06,0.48,9.06
438,9645,0.11,0.23,9.87
439,9661,0.25,0.5,9.23
440,9678,0.59,0.69,9.12
441,9697,0.59,0.42,9.08
442,9714,0.46,0.33,9.45
443,9730,0.23,0.27,9.67
444,9747,-0.13,-0.34,9.67
445,9767,-0.06,-0.06,10.35
446,9784,0.46,0.23,10.04
447,9804,0.67,0.17,10.12
448,9821,-0.61,0.0,10.06
449,9841,-1.07,-0.52,10.29
450,9862,0.0,-0.08,10.25
451,9878,0.36,0.04,9.83
452,9894,0.38,0.21,10.13
453,9911,0.13,0.0,10.12
454,9932,0.1,-0.21,10.21
455,9948,0.13,0.02,10.35
456,9968,0.1,0.02,10.04
457,9985,0.15,0.15,10.04
458,10001,0.33,-0.13,10.31
459,10022,0.59,-0.13,9.77
460,10038,0.4,-0.06,10.42
461,10059,0.36,-0.38,10.82
462,10074,0.33,-0.4,10.92
463,10095,0.08,-0.34,10.98
464,10115,-0.38,1.11,11.92
465,10132,0.46,-1.36,11.3
466,10152,1.15,-1.03,12.41
467,10169,0.19,-0.19,12.3
468,10189,-0.4,-0.31,12.57
469,10210,-0.23,-0.34,12.22
470,10230,-0.38,-0.21,11.53
471,10251,-0.08,-0.17,11.23
472,10267,-0.06,-0.44,11.3
473,10288,0.08,-0.8,11.09
474,10308,0.06,-0.46,11.51
475,10325,0.02,-0.04,10.81
476,10341,0.25,0.23,10.31
477,10362,0.42,0.27,10.31
478,10378,0.36,0.19,10.15
479,10395,0.15,0.1,10.21
480,10415,0.02,-0.06,9.96
481,10432,0.17,-0.04,9.92
482,10447,0.31,0.06,9.66
483,10463,0.4,-0.04,9.25
484,10484,0.21,-0.15,9.96
485,10500,0.46,0.0,9.54
486,10517,0.5,0.11,9.37
487,10533,0.31,0.08,9.75
488,10550,0.46,0.04,9.5
489,10566,0.17,0.1,9.22
490,10582,0.33,0.02,9.35
491,10599,0.38,0.08,9.37
492,10615,0.34,0.23,8.68
493,10632,0.5,0.54,8.56
494,10648,0.5,0.82,8.2
495,10665,0.5,0.96,8.72
496,10681,0.73,0.56,8.93
497,10701,0.86,0.29,8.91
498,10718,0.5,0.52,9.37
499,10734,0.61,0.59,8.95
500,10751,0.94,0.71,8.33
501,10767,0.63,0.59,8.01
502,10784,0.73,0.8,8.1
503,10800,0.46,0.34,8.54
504,10816,0.46,0.57,8.62
505,10832,0.57,1.07,8.26
506,10848,0.63,1.11,8.03
507,10865,0.71,1.05,7.13
508,10881,0.56,1.19,7.34
509,10898,0.73,1.03,7.01
510,10914,0.23,1.05,7.2
511,10931,0.17,1.36,7.2
512,10947,0.1,1.78,6.86
513,10967,0.27,1.69,6.57
514,10984,0.27,1.59,6.4
515,11000,0.29,1.34,6.55
516,11017,0.46,1.21,6.99
517,11033,0.11,0.82,7.87
518,11050,0.17,0.29,7.87
519,11066,1.0,0.13,7.78
520,11082,0.98,0.15,8.47
521,11099,0.84,0.25,8.7
522,11115,0.25,0.34,9.2
523,11132,0.04,0.79,9.16
524,11148,0.06,0.77,9.12
525,11165,0.13,0.77,9.2
526,11181,0.27,0.75,9.31
527,11197,0.46,0.54,9.71
528,11217,0.31,-0.31,9.81
529,11233,0.23,0.15,9.9
530,11250,-0.38,1.49,10.06
531,11270,-0.1,2.39,10.35
532,11291,-0.73,0.57,10.08
533,11307,1.02,0.52,8.28
534,11324,0.67,0.57,7.91
535,11340,0.92,0.75,8.03
536,11357,0.5,0.36,9.23
537,11373,0.19,0.17,10.15
538,11389,0.79,0.11,10.69
539,11410,1.17,0.56,10.54
540,11426,0.54,0.46,10.94
541,11447,0.33,-0.71,10.94
542,11463,0.31,-0.23,11.09
543,11484,0.48,-0.17,11.34
544,11500,0.56,-0.4,10.65
545,11521,0.56,-0.04,10.82
546,11537,0.38,0.25,9.67
547,11554,2.3,-0.25,8.56
548,11573,0.98,-0.36,10.44
549,11590,0.25,-1.38,10.31
550,11610,0.79,-0.44,10.98
551,11631,0.0,-0.5,11.78
552,11647,0.04,0.06,10.81
553,11664,0.33,-0.36,10.92
554,11684,0.21,-0.57,11.59
555,11705,0.11,-0.92,12.28
556,11721,-0.25,-0.65,12.64
557,11742,0.0,-0.5,11.76
558,11762,-0.06,-0.42,11.78
559,11779,0.36,-0.54,11.38
560,11799,0.04,-0.48,10.84
561,11816,0.02,-0.33,10.73
562,11836,0.04,-0.38,10.61
563,11857,0.02,-0.61,10.63
564,11873,-0.1,-1.09,10.4
565,11894,0.0,-1.44,10.31
566,11914,-0.17,-0.9,10.35
567,11935,-0.08,-0.36,10.42
568,11950,-0.15,-0.69,10.35
